Game Name,Intro,Expect,Video,Caption
Akatsuki Blitzkampf Ausf. Achse,"Hey kid, you wanna punch some nazis? Akatsuki Blitzkampf is a legacy doujin game seeped in the influences of Street Fighter 3 Third Strike but with a control scheme more akin to its anime contemporaries. 

Taking place in an alternate world where everyone is still hanging around in World War 2 fits, Ausf. Achse is the final revision of the original Akatsuki Blitzkampf release and is the most popular version of the game as its sequel, En-Eins Perfektewelt, is mostly inaccessible state-side. 

Despite it's doujin beginnings, ABK could arguably be one of the biggest breakout stars of the doujin scene with main character Ataksuki being a guest character in Under Night In-Birth and perennial meme Blitztank showing up in BBTag.  ","ABK is not an overly complicated game, instead focusing on solid fundamentals and a grounded Street Fighter approach almost countercultural to the heavily airdasher-inspired anime doujin games of the time. Much like its main inspiration Third Strike, it has a parry system called Reflector. Unlike Third Strike and like every Third Strike inspired game that came in its wake; Reflector is a button command that has a recovery to it when whiffed.

You will likely see lots of Akatsuki, Marilyn, and Sai as those characters are all popular and very strong, you will not see Blitztank because that character is as stinky as a turd on a hot sidewalk, and you will likely see Fritz because that character can be played with closed fists and a 0.3 GPA (Author's Note: See my Fritz).",aumgD46Ud7s,"With its recent inclusion on Fightcade 2, Element put out a Beginners Guide video to help new players get a handle on what ABK:AA has to offer. This introduces all basic facets of the game, including the music which absolutely RIPS."
Aquapazza,"One of many (many) Main Character + Assist Partner fighting games that feature characters from a variety of established properties. Aquapazza in particular draws from the games of Aquaplus and Leaf, giving us combatants from Utawarerumono, Tears to Tiara, and the reigning king of fighting game appearances; To Heart. It blows my mind seeing Multi from To Heart be a playable character in this game, she's been showing up in doujin fighting games since the 90s. This release from EXAMU has a dedicated community keeping it alive, as its only home release was on the PS3 and as of 2019 the US PSN store has delisted it. That hasn't stopped them from showing up, as Aquapazza has had a multi-year streak of appearances at Vortex Gallery/AnimEVO","There is a mechanic at play called Active Emotion that basically tracks your character's mood during the course of the game. While nothing understandably changes in a neutral state, depending on how you play you can be put into either High Tension or Low Spirits. If you are constantly forward dashing and attacking you can enter High Tension, where your attack, your defense, and the hitstun on moves increase, leading to High Tension specific combos. However if you backdash too much or spend too much time blocking, you can put yourself in Low Spirits which lowers your attack and defense plus allows you to be guard broken. ",IdQ5cvIE4lg,"Take note of the color surrounding the character profiles in the corner, this will determine what their Active Emotion is. Neutral state is gray, High Tension is red, and Low Spirits is Blue. You'll also see arrows show up to signify which way their Active Emotion is trending. "
Blazblue Centralfiction,"The sister series to Guilty Gear, Central Fiction is the final update to BlazBlue and with the fresh addition of rollback the series has been given new life. While mechanically very similar to Guilty Gear, like in having its own version of Bursts and Roman Cancels, BlazBlue heavily emphasizes character-specific mechanics. All characters have their standard light, medium, and heavy attack buttons but the Drive button controls the attacks that are wholly unique to how that character operates. With the speed of its predecessor and the complexity of so many incredibly unique character expressions, BBCF is a high-octane experience that is a fitting cap to such a long and beloved series.  ","It is difficult to properly prep a spectator for BBCF because of how many high-complexity characters there are. Some Drives are simple to grasp, Mai's Drive centers around throwing her spear, and some Drives are wildly complex, Nine's Drive releases a unique spell based on what element attacks she has recently hit with. It doesn't help that many characters like Izanami or Susanno are just tough to follow, just know that when Izanami has a purple ribcage over her she gains super armor and makes children in the surrounding area cry. While it may be hard to parse what exactly each character is doing, this wide cast of characters with such unique gameplay designs is what makes BBCF such an interesting game to watch and play.",xV7NBWDf08g,"Barlowe has a character overview video that briefly explains what each character's deal is. For those fresh to BlazBlue, this will go a long way in terms of bringing you up to speed. While there is a large amount of nuance to both characters and systems, just being able to understand unique character mechanics like Azreal's weak point attacks or Izayoi's Zero Weave Gauge is critical."
Blazblue Cross Tag Battle,"It may say BlazBlue on the tin, but what really made the crowd erupt with joy when this game was unveiled was the inclusion of the cast from RWBY. This 2v2 Versus fighter is mainly built upon the crossover of BlazBlue, Under Night, and Persona 4 Arena characters, but the guest appearances are wicked. Heart Aino from Arcana Heart, Yumi from Senran Kagura, and the big boi himself; Blitztank from Akatsuki Blitzkampf. With a hectic pace and the type of damage that makes characters Megaman explode when touched, it's very easy to miss a round if you get distracted by checking your phone.","As one may expect from a Versus-styled fighter, just because your second character isn't actively controlled doesn't mean they won't be impacting the game. Obviously you can call them for one of three types of assist attacks but once they are on screen it is possible to Active Change to them, changing the assist character to the point character (yes, this makes disgusting mixups). The more advanced version of this is Cross Combo, giving you the ability to control both your point and assist character at the same time. While this requires a level of mental and physical execution, the reward for making it a 2-on-1 fight is extremely lucrative.",H4fQNTIcenA,"BBTag recently tore it up at Frosty Faustings 2022. Not only is the action positively raw but two of the best in the biz, Raph and Jaidlyn, are working the mic for this Top 8 showing."
Capcom vs. SNK 2,"Oh shit, a fight has broken out at the retirement home. Easily one of the most prestigious “Old Man Game” around, CvS2 is to grounded fundamental-based game what Marvel vs Capcom 2 is to high-energy team Versus games. This high watermark for the genre has multiple different pre-canned mechanics called Grooves which allow for different styles of play based on either Capcom or SNK games of old, like Alpha 3 V-ism or KoF 97/98. These drastically change how characters operate, not only by giving them access to different moves like rolls or spot dodges, but large changes like if they can short hop or run instead of step dash (which makes seeing Street Fighter characters who never were meant to run, like E. Honda, very funny).","Of the six Grooves, you are likely to see three of them the most, C Groove, A Groove, and K Groove. C Groove is a solid, if somewhat unflashy, groove that allows 3 bars of meter with the ability to do a Level 2 super into a Level 1 super for extra damage. A Groove has Custom Combos which allow top tiers like Bison and Sakura to do their Paint The Fence and Shoshosho combos respectively. Finally K Groove is a rather simple groove, giving you Just Defend (which is brolic as hell in this game) and Rage damage bonus, this makes for an easy groove for newer players as they get wicked offensive damage bonuses and access to a very useful defensive tool. However K Groove lacks one thing that makes C and A Groove shine; Rolls. The most iconic technique in CvS2 is the ability to Roll Cancel a special move by inputting roll halfway through the input and be able to retain the roll invincibility while doing the special move.",-GAyVNV1w7E,"I once was playing casuals with the best CvS2 player in our state. After many rounds of getting my ass handed back to me, I finally landed a perfect jump-in against a rogue fireball they threw and was ready to take the round. My jump-in whiffed right through them as I realized they were Roll Canceling all their fireballs the whole set. I went outside and started drinking after that. Anyways, here's Bas who is the face of CvS2 in Japan, the dude is really good and is an excellent ambassador for the game. "
Catherine Classic,"One of the best grassroots success stories in the FGC, Catherine is a story-heavy puzzle game released by Atlus with almost zero intention of it's multiplayer making for a competitive community but that sure didn't stop a group of small, but highly dedicated players. This hybrid of a puzzle platformer has opponents racing to climb to the top of the stage while pushing and pulling blocks to either help in their ascent or to impose upon their opponent's progress.","The key to Cathy's competitive success is how interactive the gameplay is. By carefully removing blocks you can cause the stage to crumble downward depending on what supporting pieces you removed. This leads to plays where you can attempt to control the stage in a manner that boxes the opponent out of possible advancements or knocks them off the stage completely. After all, you don't have to win just by getting to the top, you can also win just by surviving.",8efNPf-PV2U,"Climb Cancel is the annual Catherine-focused event put on by the community, hosting Catherine and a variety of other under-represented and non-traditional fighting games like Senko no Ronde and Windjammers"
Catherine: Full Body,"It's Catherine again, but this time with an increased flavor profile. Full Body is the remaster to the original Catherine with new content both for single players and multiplayer. Because of this, Full Body does not act as a replacement to the original Catherine, so the community has decided to run both versions of the game to preserve the way the original plays but also enjoy the additions Full Body brings to the table.","A part of the game plan for Catherine is to use items that pop up on the stage to your advantage. In Catherine Classic these usually come in the forms of blocks you can manually place or energy drinks you can climb faster with. In Full Body you get access to new items that can drastically change stages, like Potions that turn you and your opponent invisible or Energy Drink which now is a multi-use item that lets you leap up more than one block height. ",CpiZN1JnitE,"With the addition of new items, maps like Spiral Corridor become very different. Spiral features many death traps in the form of these purple void portals (toilets) that can suck up blocks and players who fall into them. With the addition of the new Wine item, which gives you a temporary protective shield, you can survive otherwise round-ending trips to the toilet."
Chaos Code: New Sign of Catastrophe,"Hot off the heels of the announcement of a new version, the most recent Chaos Code still sees tournament action, especially in the Midwest which has always retained a strong playerbase. A traditional airdasher by most metrics, Chaos Code features a frantic pace and genre-staple combo length. It is also one of the few games with an infinite input buffer, making the execution in the game easier than it might seem. Pay attention to the character select screen however, as one of the main mechanics of Chaos Code is the ability to select from a small list of specials and Supers or if you want a run dash or a step dash to alter the load-out of your character, allowing for different approaches to different matchups or playstyles.","If you are familiar with anime airdashers, Chaos Code will be easy to follow. There are mechanics at play that are not common to the genre but not crazy unique in and of themselves, like rolls or guard breaks. What you should look out for is Exceed Chaos; canceling into this state turns your meter into a timer bar where you can sneeze out Supers in your combos to the tune of massive damage. However, you better show up on Will It Kill? because after exiting Exceed Chaos you will overheat and not be able to gain meter for a while.",mGtcTSnxyKY,"Tournament runner Crimefighter made a quick mechanics primer for Chaos Code. Lots of what makes Chaos Code special lies under the hood, so a quick spin through this will help identify smaller details in the heat of the action."
Dengeki Bunko Fighting Climax Ignition,"While developer French Bread is mostly known for their Melty Blood and Under Night series, they did work with Japanese publisher Dengeki Bunko on this crossover fighting game series. Featuring characters from popular works like Sword Art Online, Toradora, A Certain Magical Index, and even a guest appearance of Akira Yuki from Virtua Fighter, DFCI has a wide array of both fan favorites as playable characters, but also as assists to call mid-battle.","DFCI is a 2v2 game, but in the “Main Character and Assist” genre of 2v2 fighters. As such, picking an assist is a very important part of building your gameplan. The most prevalent system mechanic you will see is the Blast system; a series of bursts that all have different utility. Power Blast, activated in neutral, gives you meter, a health buff, and a damage buff. Combo Blast, activated when an attack hits, blows the opponent back and locks their burst for the next attack or can be used to make an attack safe. And finally Escape Blast, activated while in hitstun or blockstun, allows you to escape a combo but is significantly more punishable, like a traditional burst.",u9g1dA4DGRw,"Tech Chasers put out a wonderful guide for learning all about DFCI's mechanics, like how pushblock does not cost meter for the player who is down on life."
DNF Duel,"Mayhaps the crowning achievement for developer 8ing, as it is truly a culmination of their body of work. Making a fighting game on an established IP? Check. Working with the backing of a large company? Check. Wild jump cancel tech? Check. Somewhat controversial because it feels like it was made for Sickos Dot Jpg? Oh yeah baby, that's a Check. The only thing this game is missing is the classic 8ing Juggle Animation (it shows up in multiple of their fighting games). This fighting game based on the long-running Dungeon Fighter Online MMO is still very fresh, so while we look to have the game starting to take form (wow Swiftmaster is good), I wouldn't be surprised if by the time this article is published someone finds an omega-level galaxy brain piece of tech that shakes the game's foundation.","When a character's health goes under 30%, then enter a state called Awakening. During this they get access to a character-unique passive buff as well as an Awakening Skill, an attack that is very powerful but can only be done once per round and removes your passive buff after performing. This can turn some characters into nightmares, specifically Hitman, to the point where it's advantageous to try and kill off a Hitman without ever letting them see their Awakening.",xbI4xZbSce0,"As DNF Duel did not come out in time for Combo Breaker or Evo registration, Vortex Gallery is going to be the big coming out party for it as an offline tournament. Thankfully with its rollback netcode we have multiple online tournaments to glean information from, like the Can Opener series linked above. You may place me in front of the firing squad for casually linking nearly 6 hours of DNF Duel footage if you must, but don't ever say I'm skimping out on you."
